model_name,tag,split,device,commit,attack,eps,eps255,defense,params,acc_clean,clean_def_acc,clean_penalty,acc_adv,acc_def,drop,recovery,time_ms_per_img,iters,step255,restarts,subset_n,query_budget,queries_per_img,median_l2,mean_l2,notes,run_id
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.031373,8,closing,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.773,-0.16159999999999997,0.2663,0.6433,0.6683,0.5641179111177614,0.2307919792001485,,,,,,,,,loaded,1766639220-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.047059,12,none,{},0.9346,0.9346,0.0,0.0989,0.0989,0.8357,0.0,0.2310302750003757,,,,,,,,,loaded; baseline-no-defense,1766639220-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.047059,12,closing,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.773,-0.16159999999999997,0.0989,0.5894,0.8357,0.5869331099676918,0.23194336660089904,,,,,,,,,loaded,1766639220-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.015686,4,none,{},0.9346,0.9346,0.0,0.6094,0.6094,0.32519999999999993,0.0,0.22972140000056243,,,,,,,,,loaded; baseline-no-defense,1766639258-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.015686,4,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.9346,0.6002,-0.33440000000000003,0.6094,0.5773,0.32519999999999993,-0.09870848708487093,0.23529555419954704,,,,,,,,,loaded,1766639258-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.031373,8,none,{},0.9346,0.9346,0.0,0.2663,0.2663,0.6683,0.0,0.23025327499926787,,,,,,,,,loaded; baseline-no-defense,1766639258-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.031373,8,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.9346,0.6002,-0.33440000000000003,0.2663,0.559,0.6683,0.4379769564566812,0.23254129580018343,,,,,,,,,loaded,1766639258-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.047059,12,none,{},0.9346,0.9346,0.0,0.0989,0.0989,0.8357,0.0,0.22974871250044088,,,,,,,,,loaded; baseline-no-defense,1766639258-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.047059,12,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.9346,0.6002,-0.33440000000000003,0.0989,0.537,0.8357,0.5242311834390332,0.23272450410004242,,,,,,,,,loaded,1766639258-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,none,{},0.9346,0.9346,0.0,0.0077,0.0077,0.9269,0.0,0.3705677874997491,,,,,,,0.15468232333660126,0.19670598208904266,loaded; baseline-no-defense,1766641348-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,none,{},0.9346,0.9346,0.0,0.0077,0.0077,0.9269,0.0,0.23988060830015456,,,,,,,0.15468232333660126,0.19670598208904266,loaded; baseline-no-defense,1766641370-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,median,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.8075,-0.1271,0.0077,0.7678,0.9269,0.8200453123314274,4.43487089160044,,,,,,,0.15468232333660126,0.19670598208904266,loaded,1766641370-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,none,{},0.9346,0.9346,0.0,0.0077,0.0077,0.9269,0.0,0.2475362083001528,,,,,,,0.15468232333660126,0.19670598208904266,loaded; baseline-no-defense,1766641480-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.7899,-0.14469999999999994,0.0077,0.717,0.9269,0.7652389686050275,0.2428326958994148,,,,,,,0.15468232333660126,0.19670598208904266,loaded,1766641480-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,none,{},0.9346,0.9346,0.0,0.0077,0.0077,0.9269,0.0,0.2548583374998998,,,,,,,0.15468232333660126,0.19670598208904266,loaded; baseline-no-defense,1766641505-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,closing,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.773,-0.16159999999999997,0.0077,0.6982,0.9269,0.7449563059661237,0.23710146249941316,,,,,,,0.15468232333660126,0.19670598208904266,loaded,1766641505-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,none,{},0.9346,0.9346,0.0,0.0077,0.0077,0.9269,0.0,0.23383757089904975,,,,,,,0.15468232333660126,0.19670598208904266,loaded; baseline-no-defense,1766641531-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,deepfool,,,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.9346,0.6002,-0.33440000000000003,0.0077,0.5678,0.9269,0.6042723055345776,0.25562152079946826,,,,,,,0.15468232333660126,0.19670598208904266,loaded,1766641531-34ede61
